Strategy        |World           |Time    |Score           |Undisco |Uncheck |NumPers 
A-Team          |world-20x20-30D |400     |3.7910962E7     |10      |87      |1       
A-Team          |first-world-L   |10000   |226278.0        |0       |1       |2       
A-Team          |first-world-S   |300     |1022733.0       |0       |5       |2       
A-Team          |world-15x15-10D |300     |1.3310084E7     |6       |5       |1       
A-Team          |world-15x15-10D |300     |1.3310084E7     |6       |5       |1       
A-Team          |first-world-L   |10000   |226889.0        |0       |1       |2       
A-Team          |world-15x15-30D |100000  |649391.0        |0       |0       |1       
A-Team          |world-20x20-10D |10000   |407055.0        |0       |0       |1       
A-Team          |world-15x15-30D |300     |2.1561459E7     |6       |47      |1       
A-Team          |world-20x20-10D |10000   |279980.0        |0       |0       |1       
A-Team          |first-world-S   |300     |824768.0        |0       |4       |2       
A-Team          |world-15x15-10D |300     |9199328.0       |4       |5       |1       
A-Team          |world-15x15-30D |300     |2.1561459E7     |6       |47      |1       
A-Team          |world-20x20-10D |400     |8730241.0       |3       |12      |1       
A-Team          |world-20x20-30D |400     |3.8511216E7     |10      |90      |1       
A-Team          |first-world-L   |10000   |226286.0        |0       |1       |2       
